2021-02-16 13:35:36.710589
{'religious-groups-in-schools=y'} | Support Value=0.6252873563218391
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y', 'crime=y', 'mx-missile=n'} | Support Value=0.31494252873563217
{'crime=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.31494252873563217
{'anti-satellite-test-ban=y', 'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.31494252873563217
{'aid-to-nicaraguan-contras=y', 'export-administration-act-south-africa=y', 'mx-missile=y'} | Support Value=0.31494252873563217
{'religious-groups-in-schools=y', 'Class Name=republican', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.31494252873563217
{'religious-groups-in-schools=y', 'Class Name=republican', 'mx-missile=n', 'el-salvador-aid=y'} | Support Value=0.31494252873563217
{'immigration=y', 'crime=y'} | Support Value=0.31494252873563217
{'crime=n', 'education-spending=n', 'el-salvador-aid=n'} | Support Value=0.31494252873563217
{'crime=y', 'Class Name=republican', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.31494252873563217
{'religious-groups-in-schools=y', 'crime=y', 'Class Name=republican', 'el-salvador-aid=y'} | Support Value=0.31494252873563217
{'el-salvador-aid=y', 'crime=y', 'Class Name=republican', 'mx-missile=n'} | Support Value=0.31494252873563217
{'superfund-right-to-sue=y', 'crime=y', 'anti-satellite-test-ban=n'} | Support Value=0.31494252873563217
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.31494252873563217
{'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.31494252873563217
{'education-spending=n', 'mx-missile=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.31494252873563217
{'crime=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.31494252873563217
{'el-salvador-aid=y', 'religious-groups-in-schools=y', 'physician-fee-freeze=y', 'mx-missile=n', 'crime=y'} | Support Value=0.31494252873563217
{'religious-groups-in-schools=y', 'duty-free-exports=n', 'education-spending=y'} | Support Value=0.31494252873563217
{'religious-groups-in-schools=y', 'duty-free-exports=n', 'handicapped-infants=n'} | Support Value=0.31494252873563217
{'physician-fee-freeze=n', 'education-spending=n', 'export-administration-act-south-africa=y'} | Support Value=0.31494252873563217
{'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'mx-missile=y'} | Support Value=0.31494252873563217
{'handicapped-infants=n', 'education-spending=y'} | Support Value=0.31264367816091954
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'physician-fee-freeze=y'} | Support Value=0.31264367816091954
{'duty-free-exports=n', 'religious-groups-in-schools=y', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.31264367816091954
{'religious-groups-in-schools=y', 'crime=y', 'anti-satellite-test-ban=n', 'mx-missile=n'} | Support Value=0.31264367816091954
{'synfuels-corporation-cutback=n', 'immigration=y'} | Support Value=0.31264367816091954
{'religious-groups-in-schools=y', 'duty-free-exports=n', 'anti-satellite-test-ban=n', 'el-salvador-aid=y'} | Support Value=0.31264367816091954
{'physician-fee-freeze=n', 'export-administration-act-south-africa=y', 'anti-satellite-test-ban=y'} | Support Value=0.31264367816091954
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'crime=y', 'physician-fee-freeze=y'} | Support Value=0.31264367816091954
{'religious-groups-in-schools=y', 'anti-satellite-test-ban=n', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.31264367816091954
{'el-salvador-aid=y', 'religious-groups-in-schools=y', 'physician-fee-freeze=y', 'Class Name=republican', 'mx-missile=n'} | Support Value=0.31264367816091954
{'duty-free-exports=n', 'anti-satellite-test-ban=n', 'mx-missile=n'} | Support Value=0.31264367816091954
{'crime=n', 'superfund-right-to-sue=n'} | Support Value=0.31264367816091954
{'superfund-right-to-sue=y', 'adoption-of-the-budget-resolution=n'} | Support Value=0.31264367816091954
{'crime=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n'} | Support Value=0.31264367816091954
{'physician-fee-freeze=n', 'el-salvador-aid=n', 'duty-free-exports=y', 'Class Name=democrat'} | Support Value=0.31264367816091954
{'education-spending=n', 'duty-free-exports=y', 'Class Name=democrat'} | Support Value=0.31264367816091954
{'crime=n', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.31264367816091954
{'religious-groups-in-schools=y', 'crime=y', 'el-salvador-aid=y', 'handicapped-infants=n'} | Support Value=0.31264367816091954
{'religious-groups-in-schools=y', 'crime=y', 'el-salvador-aid=y', 'education-spending=y'} | Support Value=0.31264367816091954
{'physician-fee-freeze=n', 'education-spending=n', 'export-administration-act-south-africa=y', 'Class Name=democrat'} | Support Value=0.31264367816091954
{'crime=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.31264367816091954
{'adoption-of-the-budget-resolution=y', 'education-spending=n', 'export-administration-act-south-africa=y'} | Support Value=0.31264367816091954
{'duty-free-exports=n', 'crime=y', 'anti-satellite-test-ban=n'} | Support Value=0.31264367816091954
{'religious-groups-in-schools=n', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n'} | Support Value=0.31264367816091954
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.31264367816091954
{'superfund-right-to-sue=y', 'Class Name=republican'} | Support Value=0.31264367816091954
{'crime=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.31264367816091954
{'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n', 'duty-free-exports=y', 'Class Name=democrat'} | Support Value=0.31264367816091954
{'education-spending=y', 'crime=y', 'physician-fee-freeze=y'} | Support Value=0.31264367816091954
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'physician-fee-freeze=n', 'el-salvador-aid=n'} | Support Value=0.31264367816091954
{'education-spending=n', 'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.31264367816091954
{'el-salvador-aid=y', 'religious-groups-in-schools=y', 'physician-fee-freeze=y', 'Class Name=republican', 'crime=y'} | Support Value=0.31264367816091954
{'el-salvador-aid=y', 'physician-fee-freeze=y', 'Class Name=republican', 'mx-missile=n', 'crime=y'} | Support Value=0.31264367816091954
{'religious-groups-in-schools=y', 'duty-free-exports=n', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.31264367816091954
{'physician-fee-freeze=n', 'duty-free-exports=y', 'el-salvador-aid=n'} | Support Value=0.31264367816091954
{'aid-to-nicaraguan-contras=n', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.31264367816091954
{'duty-free-exports=n', 'crime=y', 'Class Name=republican'} | Support Value=0.31264367816091954
{'adoption-of-the-budget-resolution=n', 'religious-groups-in-schools=y', 'el-salvador-aid=y', 'mx-missile=n'} | Support Value=0.31264367816091954
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3103448275862069
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.3103448275862069
{'el-salvador-aid=y', 'religious-groups-in-schools=y', 'superfund-right-to-sue=y', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3103448275862069
{'el-salvador-aid=y', 'religious-groups-in-schools=y', 'mx-missile=n', 'superfund-right-to-sue=y', 'crime=y'} | Support Value=0.3103448275862069
{'crime=n', 'education-spending=n', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3103448275862069
{'education-spending=n', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3103448275862069
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3103448275862069
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3103448275862069
{'religious-groups-in-schools=y', 'el-salvador-aid=y', 'mx-missile=n', 'handicapped-infants=n'} | Support Value=0.3103448275862069
{'education-spending=n', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.3103448275862069
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3103448275862069
{'crime=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3103448275862069
{'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n'} | Support Value=0.3103448275862069
{'Class Name=republican', 'education-spending=y'} | Support Value=0.3103448275862069
{'religious-groups-in-schools=y', 'duty-free-exports=n', 'el-salvador-aid=y', 'physician-fee-freeze=y'} | Support Value=0.3103448275862069
{'religious-groups-in-schools=n', 'Class Name=democrat'} | Support Value=0.3103448275862069
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3103448275862069
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.3103448275862069
{'anti-satellite-test-ban=y', 'duty-free-exports=y', 'Class Name=democrat'} | Support Value=0.3103448275862069
{'crime=n', 'education-spending=n', 'adoption-of-the-budget-resolution=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3103448275862069
{'el-salvador-aid=n', 'superfund-right-to-sue=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3103448275862069
{'duty-free-exports=n', 'crime=y', 'education-spending=y'} | Support Value=0.3103448275862069
{'crime=n', 'physician-fee-freeze=n', 'superfund-right-to-sue=n'} | Support Value=0.3103448275862069
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3103448275862069
{'el-salvador-aid=y', 'aid-to-nicaraguan-contras=n', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.3103448275862069
{'adoption-of-the-budget-resolution=n', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.3103448275862069
{'crime=n', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.3103448275862069
{'el-salvador-aid=y', 'handicapped-infants=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3103448275862069
{'adoption-of-the-budget-resolution=n', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3103448275862069
{'duty-free-exports=n', 'crime=y', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.3103448275862069
{'aid-to-nicaraguan-contras=y', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'mx-missile=y'} | Support Value=0.3103448275862069
{'el-salvador-aid=y', 'duty-free-exports=n', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.3103448275862069
{'aid-to-nicaraguan-contras=y', 'anti-satellite-test-ban=y', 'duty-free-exports=y'} | Support Value=0.3103448275862069
{'adoption-of-the-budget-resolution=n', 'handicapped-infants=n'} | Support Value=0.3103448275862069
{'adoption-of-the-budget-resolution=n', 'religious-groups-in-schools=y', 'crime=y', 'el-salvador-aid=y'} | Support Value=0.3103448275862069
{'aid-to-nicaraguan-contras=y', 'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.3103448275862069
{'adoption-of-the-budget-resolution=n', 'crime=y', 'duty-free-exports=n'} | Support Value=0.3103448275862069
{'superfund-right-to-sue=y', 'crime=y', 'handicapped-infants=n'} | Support Value=0.3103448275862069
{'superfund-right-to-sue=y', 'duty-free-exports=n', 'mx-missile=n'} | Support Value=0.3103448275862069
{'synfuels-corporation-cutback=n', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.3103448275862069
{'superfund-right-to-sue=y', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.3103448275862069
{'crime=n', 'physician-fee-freeze=n', 'education-spending=n', 'el-salvador-aid=n'} | Support Value=0.3103448275862069
{'el-salvador-aid=y', 'duty-free-exports=n', 'Class Name=republican'} | Support Value=0.3103448275862069
{'physician-fee-freeze=n', 'export-administration-act-south-africa=y', 'el-salvador-aid=n'} | Support Value=0.3103448275862069
{'adoption-of-the-budget-resolution=n', 'crime=y', 'Class Name=republican'} | Support Value=0.3103448275862069
{'handicapped-infants=y', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.3103448275862069
{'religious-groups-in-schools=y', 'mx-missile=n', 'education-spending=y'} | Support Value=0.3103448275862069
{'crime=y', 'mx-missile=n', 'education-spending=y'} | Support Value=0.3103448275862069
{'aid-to-nicaraguan-contras=y', 'export-administration-act-south-africa=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3103448275862069
{'synfuels-corporation-cutback=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3080459770114943
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y', 'crime=y', 'physician-fee-freeze=y'} | Support Value=0.3080459770114943
{'superfund-right-to-sue=y', 'anti-satellite-test-ban=n', 'mx-missile=n'} | Support Value=0.3080459770114943
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'duty-free-exports=y'} | Support Value=0.3080459770114943
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.3080459770114943
{'el-salvador-aid=y', 'religious-groups-in-schools=y', 'duty-free-exports=n', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3080459770114943
{'crime=n', 'physician-fee-freeze=n', 'mx-missile=y'} | Support Value=0.3080459770114943
{'physician-fee-freeze=n', 'export-administration-act-south-africa=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3080459770114943
{'crime=y', 'handicapped-infants=n', 'physician-fee-freeze=y'} | Support Value=0.3080459770114943
{'crime=n', 'physician-fee-freeze=n', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3080459770114943
{'crime=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.3080459770114943
{'crime=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3080459770114943
{'education-spending=n', 'export-administration-act-south-africa=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3080459770114943
{'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3080459770114943
{'physician-fee-freeze=n', 'export-administration-act-south-africa=y', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.3080459770114943
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.3080459770114943
{'mx-missile=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3080459770114943
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3080459770114943
{'crime=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3080459770114943
{'religious-groups-in-schools=n', 'aid-to-nicaraguan-contras=y', 'Class Name=democrat'} | Support Value=0.3080459770114943
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'mx-missile=y'} | Support Value=0.3080459770114943
{'Class Name=republican', 'handicapped-infants=n'} | Support Value=0.3080459770114943
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'anti-satellite-test-ban=n', 'el-salvador-aid=y'} | Support Value=0.3080459770114943
{'synfuels-corporation-cutback=n', 'water-project-cost-sharing=n'} | Support Value=0.3080459770114943
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3080459770114943
{'physician-fee-freeze=y', 'Class Name=republican', 'education-spending=y'} | Support Value=0.3080459770114943
{'adoption-of-the-budget-resolution=n', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3080459770114943
{'crime=n', 'aid-to-nicaraguan-contras=y', 'education-spending=n', 'el-salvador-aid=n'} | Support Value=0.3080459770114943
{'crime=n', 'anti-satellite-test-ban=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3080459770114943
{'adoption-of-the-budget-resolution=n', 'religious-groups-in-schools=y', 'physician-fee-freeze=y'} | Support Value=0.3080459770114943
{'religious-groups-in-schools=n', 'physician-fee-freeze=n'} | Support Value=0.3080459770114943
{'duty-free-exports=n', 'crime=y', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3080459770114943
{'religious-groups-in-schools=y', 'crime=y', 'anti-satellite-test-ban=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3080459770114943
{'anti-satellite-test-ban=n', 'physician-fee-freeze=y'} | Support Value=0.3080459770114943
{'religious-groups-in-schools=y', 'aid-to-nicaraguan-contras=n', 'physician-fee-freeze=y'} | Support Value=0.3080459770114943
{'el-salvador-aid=y', 'religious-groups-in-schools=y', 'duty-free-exports=n', 'superfund-right-to-sue=y', 'crime=y'} | Support Value=0.3080459770114943
{'el-salvador-aid=y', 'religious-groups-in-schools=y', 'anti-satellite-test-ban=n', 'mx-missile=n', 'crime=y'} | Support Value=0.3080459770114943
{'superfund-right-to-sue=y', 'duty-free-exports=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3080459770114943
{'crime=n', 'adoption-of-the-budget-resolution=y', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.3080459770114943
{'education-spending=n', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.3080459770114943
{'religious-groups-in-schools=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3080459770114943
{'crime=n', 'aid-to-nicaraguan-contras=y', 'mx-missile=y'} | Support Value=0.3080459770114943
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.3057471264367816
{'duty-free-exports=n', 'mx-missile=n', 'physician-fee-freeze=y'} | Support Value=0.3057471264367816
{'religious-groups-in-schools=n', 'physician-fee-freeze=n', 'Class Name=democrat'} | Support Value=0.3057471264367816
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n'} | Support Value=0.3057471264367816
{'religious-groups-in-schools=y', 'physician-fee-freeze=y', 'education-spending=y'} | Support Value=0.3057471264367816
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y'} | Support Value=0.3057471264367816
{'physician-fee-freeze=n', 'handicapped-infants=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3057471264367816
{'anti-satellite-test-ban=y', 'mx-missile=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'Class Name=democrat'} | Support Value=0.3057471264367816
{'synfuels-corporation-cutback=n', 'religious-groups-in-schools=y', 'el-salvador-aid=y'} | Support Value=0.3057471264367816
{'synfuels-corporation-cutback=n', 'crime=y', 'physician-fee-freeze=y'} | Support Value=0.3057471264367816
{'crime=y', 'mx-missile=n', 'handicapped-infants=n'} | Support Value=0.3057471264367816
{'religious-groups-in-schools=n', 'physician-fee-freeze=n', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3057471264367816
{'crime=n', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.3057471264367816
{'superfund-right-to-sue=y', 'crime=y', 'education-spending=y'} | Support Value=0.3057471264367816
{'crime=n', 'education-spending=n', 'anti-satellite-test-ban=y'} | Support Value=0.3057471264367816
{'duty-free-exports=n', 'crime=y', 'handicapped-infants=n'} | Support Value=0.3057471264367816
{'education-spending=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3057471264367816
{'crime=n', 'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3057471264367816
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y', 'duty-free-exports=n'} | Support Value=0.3057471264367816
{'el-salvador-aid=y', 'religious-groups-in-schools=y', 'anti-satellite-test-ban=n', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3057471264367816
{'crime=n', 'anti-satellite-test-ban=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n'} | Support Value=0.3057471264367816
{'el-salvador-aid=y', 'religious-groups-in-schools=y', 'anti-satellite-test-ban=n', 'crime=y', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3057471264367816
{'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'duty-free-exports=y', 'Class Name=democrat'} | Support Value=0.3057471264367816
{'duty-free-exports=n', 'religious-groups-in-schools=y', 'crime=y', 'physician-fee-freeze=y'} | Support Value=0.3057471264367816
{'crime=n', 'education-spending=n', 'anti-satellite-test-ban=y', 'Class Name=democrat'} | Support Value=0.3057471264367816
{'adoption-of-the-budget-resolution=n', 'education-spending=y'} | Support Value=0.3057471264367816
{'crime=y', 'anti-satellite-test-ban=n', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3057471264367816
{'synfuels-corporation-cutback=n', 'adoption-of-the-budget-resolution=y'} | Support Value=0.3057471264367816
{'physician-fee-freeze=n', 'anti-satellite-test-ban=y', 'duty-free-exports=y', 'Class Name=democrat'} | Support Value=0.3057471264367816
{'duty-free-exports=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.3057471264367816
{'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'duty-free-exports=y', 'el-salvador-aid=n'} | Support Value=0.3057471264367816
{'mx-missile=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3057471264367816
{'adoption-of-the-budget-resolution=n', 'crime=y', 'Class Name=republican', 'physician-fee-freeze=y'} | Support Value=0.3057471264367816
{'physician-fee-freeze=n', 'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'mx-missile=y'} | Support Value=0.3057471264367816
{'superfund-right-to-sue=y', 'el-salvador-aid=y', 'crime=y', 'anti-satellite-test-ban=n'} | Support Value=0.3057471264367816
{'religious-groups-in-schools=y', 'aid-to-nicaraguan-contras=n', 'el-salvador-aid=y', 'physician-fee-freeze=y'} | Support Value=0.3057471264367816
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'el-salvador-aid=y', 'physician-fee-freeze=y'} | Support Value=0.3057471264367816
{'adoption-of-the-budget-resolution=y', 'physician-fee-freeze=n', 'export-administration-act-south-africa=y', 'aid-to-nicaraguan-contras=y'} | Support Value=0.3057471264367816
{'export-administration-act-south-africa=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'adoption-of-the-budget-resolution=y', 'Class Name=democrat'} | Support Value=0.3057471264367816
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'crime=y', 'anti-satellite-test-ban=n'} | Support Value=0.3057471264367816
{'Class Name=republican', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3057471264367816
{'superfund-right-to-sue=n', 'adoption-of-the-budget-resolution=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3057471264367816
{'crime=n', 'aid-to-nicaraguan-contras=y', 'mx-missile=y', 'Class Name=democrat'} | Support Value=0.3057471264367816
{'education-spending=n', 'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'el-salvador-aid=n'} | Support Value=0.3057471264367816
{'adoption-of-the-budget-resolution=n', 'el-salvador-aid=y', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.3057471264367816
{'education-spending=y', 'el-salvador-aid=y', 'crime=y', 'physician-fee-freeze=y'} | Support Value=0.3057471264367816
{'export-administration-act-south-africa=y', 'water-project-cost-sharing=n'} | Support Value=0.30344827586206896
{'crime=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n'} | Support Value=0.30344827586206896
{'duty-free-exports=n', 'anti-satellite-test-ban=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.30344827586206896
{'adoption-of-the-budget-resolution=y', 'export-administration-act-south-africa=y', 'el-salvador-aid=n'} | Support Value=0.30344827586206896
{'education-spending=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'superfund-right-to-sue=n'} | Support Value=0.30344827586206896
{'crime=n', 'anti-satellite-test-ban=y', 'aid-to-nicaraguan-contras=y', 'adoption-of-the-budget-resolution=y', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.30344827586206896
{'religious-groups-in-schools=y', 'handicapped-infants=n', 'physician-fee-freeze=y'} | Support Value=0.30344827586206896
{'superfund-right-to-sue=y', 'religious-groups-in-schools=y', 'mx-missile=n', 'aid-to-nicaraguan-contras=n'} | Support Value=0.30344827586206896
{'crime=n', 'education-spending=n', 'aid-to-nicaraguan-contras=y', 'physician-fee-freeze=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.30344827586206896
{'superfund-right-to-sue=n', 'anti-satellite-test-ban=y', 'mx-missile=y', 'el-salvador-aid=n'} | Support Value=0.30344827586206896
{'religious-groups-in-schools=n', 'el-salvador-aid=n', 'Class Name=democrat'} | Support Value=0.30344827586206896
{'el-salvador-aid=y', 'duty-free-exports=n', 'anti-satellite-test-ban=n', 'mx-missile=n'} | Support Value=0.30344827586206896
